time	Control	Speed_rpm	
1693.1000000000001	1000	2631	
1693.1100000000001	1000	2631	
1693.1200000000001	1000	2574	
1693.13	1000	2574	
1693.14	1000	2574	
1693.15	1000	2574	
1693.16	1000	2574	
1693.17	1000	2554	
1693.18	1000	2554	
1693.19	1000	2554	
1693.2	1000	2554	
1693.21	1000	2554	
1693.22	1000	2524	
1693.23	1000	2524	
1693.24	1000	2524	
1693.25	1000	2524	
1693.26	1000	2524	
1693.27	1000	2486	
1693.28	1000	2486	
1693.29	1000	2486	
1693.3	1000	2486	
1693.31	1000	2486	
1693.32	1000	2453	
1693.33	1000	2453	
1693.3400000000001	1000	2453	
1693.3500000000001	1000	2453	
1693.3600000000001	1000	2453	
1693.3700000000001	1000	2413	
1693.38	1000	2413	
1693.39	1000	2413	
1693.4	1000	2413	
1693.41	1000	2413	
1693.42	1000	2378	
1693.43	1000	2378	
1693.44	1000	2378	
1693.45	1000	2378	
1693.46	1000	2348	
1693.47	1000	2348	
1693.48	1000	2348	
1693.49	1000	2348	
1693.5	1000	2348	
1693.51	1000	2282	
1693.52	1000	2282	
1693.53	1000	2282	
1693.54	1000	2282	
1693.55	1000	2282	
1693.56	1000	2282	
1693.57	1000	2251	
1693.58	1000	2251	
1693.5900000000001	1000	2251	
1693.6000000000001	1000	2251	
1693.6100000000001	1000	2202	
1693.6200000000001	1000	2202	
1693.63	1000	2202	
1693.64	1000	2202	
1693.65	1000	2202	
1693.66	1000	2165	
1693.67	1000	2165	
1693.68	1000	2165	
1693.69	1000	2165	
1693.7	1000	2165	
1693.71	1000	2127	
1693.72	1000	2127	
1693.73	1000	2127	
1693.74	1000	2127	
1693.75	1000	2127	
1693.76	1000	2056	
1693.77	1000	2056	
1693.78	1000	2056	
1693.79	1000	2056	
1693.8	1000	2056	
1693.81	1000	2037	
1693.82	1000	2037	
1693.83	1000	2037	
1693.8400000000001	1000	2037	
1693.8500000000001	1000	2037	
1693.8600000000001	1000	1991	
1693.8700000000001	1000	1991	
1693.88	1000	1991	
1693.89	1000	1991	
1693.9	1000	1991	
1693.91	1000	1991	
1693.92	1000	1926	
1693.93	1000	1926	
1693.94	1000	1926	
1693.95	1000	1926	
1693.96	1000	1926	
1693.97	1000	1901	
1693.98	1000	1901	
