time	Control	Speed_rpm	
1735.02	2900	1023	
1735.03	2900	1023	
1735.04	2900	1023	
1735.05	2900	1023	
1735.06	2900	1030	
1735.07	2900	1030	
1735.08	2900	1030	
1735.0900000000001	2900	1030	
1735.1000000000001	2900	1030	
1735.1100000000001	2900	1034	
1735.1200000000001	2900	1034	
1735.13	2900	1034	
1735.14	2900	1034	
1735.15	2900	1034	
1735.16	2900	1034	
1735.17	2900	1039	
1735.18	2900	1039	
1735.19	2900	1039	
1735.2	2900	1039	
1735.21	2900	1063	
1735.22	2900	1063	
1735.23	2900	1063	
1735.24	2900	1063	
1735.25	2900	1063	
1735.26	2900	1063	
1735.27	2900	1076	
1735.28	2900	1076	
1735.29	2900	1076	
1735.3	2900	1076	
1735.31	2900	1093	
1735.32	2900	1093	
1735.33	2900	1093	
1735.3400000000001	2900	1093	
1735.3500000000001	2900	1093	
1735.3600000000001	2900	1128	
1735.3700000000001	2900	1128	
1735.38	2900	1128	
1735.39	2900	1128	
1735.4	2900	1128	
1735.41	2900	1128	
1735.42	2900	1152	
1735.43	2900	1152	
1735.44	2900	1152	
1735.45	2900	1152	
1735.46	2900	1182	
1735.47	2900	1182	
1735.48	2900	1182	
1735.49	2900	1182	
1735.5	2900	1182	
1735.51	2900	1216	
1735.52	2900	1216	
1735.53	2900	1216	
1735.54	2900	1216	
1735.55	2900	1216	
1735.56	2900	1252	
1735.57	2900	1252	
1735.58	2900	1252	
1735.5900000000001	2900	1252	
1735.6000000000001	2900	1252	
1735.6100000000001	2900	1278	
1735.6200000000001	2900	1278	
1735.63	2900	1278	
1735.64	2900	1278	
1735.65	2900	1278	
1735.66	2900	1330	
1735.67	2900	1330	
1735.68	2900	1330	
1735.69	2900	1330	
1735.7	2900	1330	
1735.71	2900	1372	
1735.72	2900	1372	
1735.73	2900	1372	
1735.74	2900	1372	
1735.75	2900	1372	
1735.76	2900	1398	
1735.77	2900	1398	
1735.78	2900	1398	
1735.79	2900	1398	
1735.8	2900	1398	
1735.81	2900	1451	
1735.82	2900	1451	
1735.83	2900	1451	
1735.8400000000001	2900	1451	
1735.8500000000001	2900	1451	
1735.8600000000001	2900	1480	
1735.8700000000001	2900	1480	
1735.88	2900	1480	
1735.89	2900	1480	
1735.9	2900	1480	
1735.91	2900	1480	
1735.92	2900	1536	
1735.93	2900	1536	
1735.94	2900	1536	
1735.95	2900	1536	
1735.96	2900	1584	
1735.97	2900	1584	
1735.98	2900	1584	
1735.99	2900	1584	
1736	2900	1584	
1736.01	2900	1584	
1736.02	2900	1629	
1736.03	2900	1629	
1736.04	2900	1629	
1736.05	2900	1629	
1736.06	2900	1675	
1736.07	2900	1675	
1736.08	2900	1675	
1736.0900000000001	2900	1675	
1736.1000000000001	2900	1675	
1736.1100000000001	2900	1717	
1736.1200000000001	2900	1717	
1736.13	2900	1717	
1736.14	2900	1717	
1736.15	2900	1717	
1736.16	2900	1763	
1736.17	2900	1763	
1736.18	2900	1763	
1736.19	2900	1763	
1736.2	2900	1763	
1736.21	2900	1763	
1736.22	2900	1814	
1736.23	2900	1814	
1736.24	2900	1814	
1736.25	2900	1814	
1736.26	2900	1871	
1736.27	2900	1871	
1736.28	2900	1871	
1736.29	2900	1871	
1736.3	2900	1871	
1736.31	2900	1871	
1736.32	2900	1907	
1736.33	2900	1907	
1736.3400000000001	2900	1907	
1736.3500000000001	2900	1907	
1736.3600000000001	2900	1907	
1736.3700000000001	2900	1976	
1736.38	2900	1976	
1736.39	2900	1976	
1736.4	2900	1976	
1736.41	2900	1976	
1736.42	2900	2015	
1736.43	2900	2015	
1736.44	2900	2015	
1736.45	2900	2015	
1736.46	2900	2083	
1736.47	2900	2083	
1736.48	2900	2083	
1736.49	2900	2083	
1736.5	2900	2083	
1736.51	2900	2109	
1736.52	2900	2109	
1736.53	2900	2109	
1736.54	2900	2109	
1736.55	2900	2109	
1736.56	2900	2109	
1736.57	2900	2172	
1736.58	2900	2172	
1736.5900000000001	2900	2172	
1736.6000000000001	2900	2172	
1736.6100000000001	2900	2172	
1736.6200000000001	2900	2239	
